"台灣易思資訊科技股份有限公司",1a2x6bk2lv
"伯茂事業股份有限公司",18j2ge00
"科締納科技股份有限公司_Cortina Systems Taiwan Limited",10uyi7m8
"辰銘資訊有限公司",1a2x6blq00
"茂達電子股份有限公司",7gsk3g0
"VNG_新加坡商維技遊戲股份有限公司台灣分公司",1a2x6blp92
"精材科技股份有限公司",7ovnv1s
"艾杰旭顯示玻璃股份有限公司",wfcblls
"競合國際行銷股份有限公司",7hilan4
"邦鉑科技股份有限公司",1a2x6bkdyp
"雲陽科技有限公司",7h1a2oo
"幸福空間股份有限公司",d6hr8sg
"帛聖科技股份有限公司",5w6zyqw
"博大科技股份有限公司",13ut1u60
"泓偊科技股份有限公司",1a2x6bk4hv
"美商夜貓子控股有限責任公司",1a2x6bl4ry
"德特蒙有限公司",a49i0g8
"磐儀科技股份有限公司",12syxbco
"毅耀實業股份有限公司",axky5k8
"捷盛電子科技股份有限公司",13uulbuo
"資騰科技股份有限公司",a8ftmco
"信祥股份有限公司",5nthncg
"兆益奈米科技股份有限公司",1a2x6bi7fx
"尚萬有限公司",1a2x6blpor
"印正有限公司",1a2x6bkecc
"全科科技股份有限公司",13iqsaao
"有鳴股份有限公司",1a2x6bldr1
"Goshop嚴選研究室_宙勝數位企業有限公司",1a2x6bk5iz
"金佶科技股份有限公司",b4hyyl4
"威紘電線電纜有限公司",10ro1ju8
"台灣樂線有限公司",1a2x6bjh51
"Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司",cikbtiw
"東浦精密光電股份有限公司",151n96xc
"立景創新科技有限公司",1a2x6bkiwz
"裕和源有限公司",1a2x6blka2
"非序行銷工作室",1a2x6bluec
"陽光花園科技股份有限公司",1a2x6bj6b7
"捷智科技股份有限公司",agzwji0
"欣發企業有限公司",1a2x6bl7ss
"長益精密工業股份有限公司",13o429y8
"裕勳科技有限公司",1a2x6bjdwd
"拓緯實業股份有限公司",alzlm2o
"直播科技股份有限公司",10usebq0
"增你強股份有限公司",5p3nff4
"英屬開曼群島商世芯股份有限公司台灣分公司",1a2x6bjq7e
"春樹科技股份有限公司",b7rmrs8
"彩得線上娛樂股份有限公司",b9056ig
"聯銓資訊科技有限公司",13nkbe4o
"中華數位科技股份有限公司",5sfe328
"易遊網股份有限公司",wdhagx4
"柿子紅科技股份有限公司",1a2x6bk7wr
"佳靖科技有限公司",112l8phk
"台灣雲暉科技有限公司",1a2x6bkqfc
"達人通信科技有限公司",1a2x6bjecs
"復盛精密工業股份有限公司",5l1hgv4
"旭捷資訊有限公司",1a2x6blp11
"陽明資訊股份有限公司",e85isjs
"勤發電子股份有限公司",audg5ag
"長生太陽能股份有限公司",1a2x6bj4df
"藍新科技股份有限公司",wf0ru0g
"睿能資訊股份有限公司",1a2x6bm6v6
"網際威龍科技有限公司",wcfthnc
"天堂遊戲有限公司",1a2x6bjprf
"台灣東電化股份有限公司(TDK)",km9w2zk
"瑞泰科技服務有限公司",1a2x6bl1p3
"台灣?羽電機股份有限公司",lm7tegg
"達易智造股份有限公司",1a2x6bl3m7
"南茂科技股份有限公司",7eres28
"果然資訊科技有限公司",cwsbx2w
"惠邦創意整合行銷有限公司",1a2x6bl6eq
"康邵資訊有限公司",b94wiq0
"台灣伸和控制工業股份有限公司",1a2x6biud8
"晶焱科技股份有限公司",cwfahe0
"椰城股份有限公司",2a99h2g
"今?實業股份有限公司",9mh81u8
"研揚科技股份有限公司",oee5hew
"先鋒網絡服務有限公司",1a2x6blp10
"威策電腦股份有限公司",aa5psuw
"瑞相科技股份有限公司",cv2fnhk
"九鳳數位娛樂有限公司",1a2x6bjbra
"馬太網路科技有限公司",1a2x6bl4zw
"凌嘉科技股份有限公司",wg1cta0
"Studio5_	五號影像股份有限公司",1a2x6bkro4
"樂榮工業股份有限公司",aik7rfs
"毅宜工業股份有限公司",3imnwjs
"禾伸堂企業股份有限公司",9li5mb4
"億力鑫系統科技股份有限公司",cprnnsw
"尚昱應用材料股份有限公司",whdcpr4
"StreetVoice _街聲股份有限公司",1a2x6bj3jr
"英諾瓦資訊科技服務有限公司",1a2x6bjjfu
"矽立科技有限公司",od0gwiw
"仁寶集團_恆顥科技股份有限公司",oeg2v3k
"寬度科技股份有限公司",cmvynoo
"點序科技股份有限公司",daew9gg
"MPS_芯源系統有限公司",d6tp43k
"利邦國際行銷有限公司",1a2x6bl662
"台灣轉送股份有限公司",1a2x6bjgxc
"智聯服務股份有限公司",1a2x6bkwwg
"特試能科技股份有限公司",1a2x6bknz8
"虹漾網路行銷多媒體",1a2x6blfam
"英屬維京群島商嘉碼科技有限公司台灣分公司",dbj2z8w
"力晶積成電子製造股份有限公司(力積電)",cwxk0oo
"普安科技股份有限公司",12nyb2c0
"第五代虛擬科技股份有限公司",1a2x6bjoac
"台灣榮保科技有限公司",1a2x6bkplf
"陞晑企業股份有限公司",whfygr4
"香港商安費諾（東亞）有限公司台灣分公司",at88ghc
"遠東醫電科技股份有限公司",b4zt5ew
"雲創通訊股份有限公司",1a2x6bichu
"愛德萬測試股份有限公司",at3y78o
"岱陞科技股份有限公司",b9a6cts
"茂德科技股份有限公司",12nomg6g
"亞毅精密股份有限公司",cj5atb4
"海科科技有限公司",1a2x6bloyo
"展碩電子股份有限公司",110f6suo
"替您錄科技股份有限公司(TGC Taiwan, Inc.)",cqrq914
"關鍵數位科技股份有限公司",1a2x6bjd78
"光影科技有限公司",1a2x6blmt3
"HUNG YANG SOFTWARE TECH. CO., LTD._鴻揚科技有限公司",10z7cuiw
"騰鴻機櫃系統股份有限公司",1a2x6bkb07
"Intel_美商英特爾亞太科技有限公司台灣分公司",7jrgna8
"豐藝電子股份有限公司",a6chcdk
"漢保實業股份有限公司",9mycqgg
"臻鼎科技集團_先豐通訊股份有限公司",ad0jsgo
"勗連科技股份有限公司",dahcb7k
"翊盛國際有限公司",oky4fbc
"台灣路德電子有限公司",13p50ezc
"淮南寰宇股份有限公司",1a2x6bj6ly
"星凱海洋企業股份有限公司",1a2x6bkk6g
"飛比特國際股份有限公司",1a2x6bl3e8
"宇軒綠能股份有限公司",1a2x6blhag
"應科聯有限公司",1a2x6blup8
"日商拓玩意達股份有限公司台灣分公司",1a2x6bm6kx
"香港商米波國際有限公司台灣分公司",1a2x6bisn4
"香港商艾遊股份有限公司台灣分公司",1a2x6bm6n3
"永磐科技股份有限公司",9lwtw20
"萊思特科技股份有限公司",1a2x6bkpmg
"美商賽靈思發展股份有限公司台灣分公司   XILINX DEVELOPMENT CORPORATION",d23qz0g
"(捷普集團)綠點高新科技股份有限公司捷普設計服務分公司",cwxfyuo
"奧義智慧科技股份有限公司",1a2x6bk9u1
"法博智能移動股份有限公司",1a2x6blpbc
"中華龍網股份有限公司",10srlnl4
"產晶積體電路股份有限公司",12potq94
"訊想科技股份有限公司",1a2x6bi8bh
"多聯科技股份有限公司",18n1s1oo
"古河國際股份有限公司",wc6j98o
"Allion_百佳泰股份有限公司",13kxcxbc
"亞達科技股份有限公司",1a2x6bkc3s
"洺喬精密科技有限公司",1a2x6bkfkl
"銓智科技有限公司",10vbtm3s
"光頡科技股份有限公司",7erfogw
"網軟股份有限公司",5tvia9s
"台灣東應化股份有限公司(長春石化關係企業)",7jt0hbc
"GOMAJI_夠麻吉股份有限公司",bjv2ebc
"米雷迪恩飛秒光源股份有限公司",1a2x6bkhjh
"領投肯科技股份有限公司",1a2x6bl039
"嘉鋐資訊有限公司",1a2x6bm2ig
"嘉德行銷有限公司",1a2x6bl950
"遠傳電信大園中華加盟門市_欣沅企業社",1a2x6blt36
"菱光科技股份有限公司",7mh7q0g
"伽瑪科技有限公司",ohvg3cw
"鈊悅媒體科技有限公司",1a2x6bllzg
"賽博朋克科技有限公司",1a2x6blgj9
"曠世智能股份有限公司",1a2x6bktcx
"大衛電子股份有限公司",2cejr3s
"龍鵬實業有限公司",ggesojs
"美商_科林研發股份有限公司_Lam Research",12noi188
"志展實業股份有限公司",5y1a4r4
"全譜科技股份有限公司",12ugue7k
"世達工業股份有限公司",558m7s0
"馳諾瓦科技股份有限公司",1a2x6bm6yi
"吉津科技有限公司",1a2x6bm6yd
"德緯科技有限公司",1a2x6bkrz0
"嘉信國際貿易有限公司",10sdtqyo
"一帆數位科技股份有限公司",1a2x6bm6oh
"任你玩科技股份有限公司",1a2x6bm71r
"美商奇普恆動股份有限公司台灣分公司",1a2x6bm6m7
"千峰系統科技股份有限公司",3418dg0
"聯順聯網股份有限公司",1a2x6bjmkx
"晶致半導體股份有限公司",7rdbz8o
"聖道科技股份有限公司",1a2x6bl1qq
"威進國際資訊股份有限公司",6223bwo
"裕晨科技股份有限公司",1a2x6bl7bv
"展碁國際股份有限公司",9jjuzoo
"鋆鼎國際有限公司",1a2x6blomt
"勝德國際研發股份有限公司",5u30vs8
"宏達電 HTC Corporation_宏達國際電子股份有限公司",7co2xio
"芝普企業股份有限公司",ap6c4dk
"笙科電子股份有限公司",cua49yg
"永宏電機股份有限公司",13y6osww
"翔評互動股份有限公司",1a2x6bkbj5
"和全豐光電股份有限公司_Bueno旗下光學事業群",1a2x6bkdx4
"?星科技股份有限公司",1a2x6bkms2
"優式機器人股份有限公司",1a2x6bkxbm
"晨豐光電股份有限公司",bj2ah3s
"福懋科技股份有限公司",ay1tn5s
"美商英特蒙股份有限公司台灣分公司",1a2x6bjwdg
"聚立科技有限公司",bi88k14
"久大寰宇資訊股份有限公司",1a2x6bk4jn
"台灣特思爾大宇宙股份有限公司",1a2x6bjou4
"詮隼科技股份有限公司",1a2x6bkhtk
"尼克森微電子股份有限公司",7p23g8o
"聯城工業股份有限公司",5ici1i8
"BigGo_樂方股份有限公司",1a2x6bkf3h
"樺緯物聯股份有限公司",10zdpxfs
"晶相光電股份有限公司",cjgrpi8
"圓展科技股份有限公司",d25q6a8
"優愛德股份有限公司",de2utio
"連宇股份有限公司",hnksdjk
"雷神國際實業股份有限公司",11agwj9c
"雷神國際實業股份有限公司",11agwj9c
"天才視野資訊股份有限公司",d668zzc
"普魯士國際有限公司",1a2x6bj2zr
"弘倫通訊有限公司",1a2x6bi6mb
"創創數位科技股份有限公司",1a2x6bkq2h
"優堤科技有限公司",1a2x6blhxz
"漢龍資訊科技股份有限公司",aki26q8
"智林國際股份有限公司",1a2x6bkjpo
"賢昇科技股份有限公司",a8321lk
"旭喬國際有限公司",1a2x6bkts2
"創意細胞網路整合有限公司",1a2x6bkxsx
"完美數位科技有限公司",1a2x6bla0i
"威鋒電子股份有限公司",1a2x6bi080
"捷亮科技股份有限公司",b7pfqvk
"夏普震旦_震旦電信股份有限公司",cxwm00g
"摩太科技股份有限公司",10swrwu0
"孕龍科技股份有限公司",7h0bb54
"富弘年股份有限公司",7f5ab34
"台灣寶尊電子商務股份有限公司",1a2x6bjg8s
"全鎂實業股份有限公司",1a2x6bjx3x
"磐弈有限公司",1a2x6bl849
"ePrice比價王_億普媒體股份有限公司",wexinnc
"鴻呈實業股份有限公司",14zug46o
"博士門股份有限公司",18s1tnnc
"龍瑞國際股份有限公司",1a2x6bkjti
"全利誠實業有限公司",1a2x6biemo
"智成電子股份有限公司",5wzol4o
"葵谷科技實業有限公司",a8xxzow
"確認鍵網路行銷有限公司",1a2x6bl5rw
